Locale Key	Facility Name	Address	City	State	ZIP Code	Area	District	NASS Code	Facility Type								
X19092	JOHNSTOWN	235 JARI DR RM 109	JOHNSTOWN	PA	159049989	Eastern (C)	Western Pennsylvania	159	Plant	 							
Z10149	JUNEAU	9491 VINTAGE BLVD	JUNEAU	AK	998017107	Western (E)	Alaska	998	Plant	 							
Y12153	KALAMAZOO	3885 S 9TH ST	KALAMAZOO	MI	490099554	Great Lakes (J)	Greater Michigan	490	Plant	 							
Z13245	KALISPELL	350 N MERIDIAN RD	KALISPELL	MT	599019997	Western (E)	Dakotas	599	Plant	 							
W1B651	KANSAS CITY	1700 CLEVELAND AVE	KANSAS CITY	MO	641219997	Western (E)	Mid-America	640	Plant	 							
W20787	KANSAS CITY NDC	4900 SPEAKER RD	KANSAS CITY	KS	661061093	Western (E)	Mid-America	66Z	NDC	 							
Z10160	KETCHIKAN	3609 TONGASS AVE	KETCHIKAN	AK	999019994	Western (E)	Alaska	999	Plant	 							
V18876	KILMER	21 KILMER RD	EDISON	NJ	088999900	Northeast (B)	Northern New Jersey	088	Plant	 							
Y15686	KINSTON	208 E CASWELL ST	KINSTON	NC	285014995	Capital Metro (K)	Mid-Carolinas	285	Plant	 							
Z15169	KLAMATH FALLS	317 S 7TH ST	KLAMATH FALLS	OR	976016105	Western (E)	Portland	976	Plant	 							
X25384	KNOXVILLE	1237 E WEISGARBER RD	KNOXVILLE	TN	379508505	Eastern (C)	Tennessee	377	Plant	 							
X1C317	KOKOMO	2719 S WEBSTER ST	KOKOMO	IN	469029997	Great Lakes (J)	Greater Indiana	469	Plant	 							
Y17528	LA CROSSE	425 STATE ST	LA CROSSE	WI	546013346	Western (E)	Northland	546	Plant	 							
X12682	LAFAYETTE	3450 SOUTH ST	LAFAYETTE	IN	479059997	Great Lakes (J)	Greater Indiana	479	Plant	 							
Y23983	LAFAYETTE	1105 MOSS ST	LAFAYETTE	LA	705013601	Southern (G)	Louisiana	705	Plant	 							
Y22226	LAKELAND	2800 LAKELAND HILLS BLVD	LAKELAND	FL	338059997	Southern (G)	Suncoast	338	Plant	 							
X19267	LANCASTER	1400 HARRISBURG PIKE	LANCASTER	PA	176049970	Eastern (C)	Central Pennsylvania	175	Plant	 							
Y12219	LANSING	4800 COLLINS RD	LANSING	MI	489249700	Great Lakes (J)	Greater Michigan	488	Plant	 							
Z13861	LAS VEGAS	1001 DOUGLAS AVE	LAS VEGAS	NM	877019913	Western (E)	Arizona	877	Plant	 							
Z14476	LAS VEGAS	1001 E SUNSET RD RM 1054	LAS VEGAS	NV	891999607	Western (E)	Nevada Sierra	890	Plant	 							
W22211	LAWTON	501 SW 5TH ST	LAWTON	OK	735014649	Southern (G)	Oklahoma	735	Plant	 							
X19355	LEHIGH VALLEY	17 S COMMERCE WAY	LEHIGH VALLEY	PA	180029997	Eastern (C)	Central Pennsylvania	180	Plant	 							
X28774	LEWISBURG	204 E WASHINGTON ST	LEWISBURG	WV	249019998	Eastern (C)	Appalachian	249	Plant	 							
Z12689	LEWISTON	1613 IDAHO ST	LEWISTON	ID	835019898	Western (E)	Seattle	835	Plant	 							
X15573	LEXINGTON	1088 NANDINO BLVD	LEXINGTON	KY	405119995	Eastern (C)	Kentuckiana	403	Plant	 							
W20879	LIBERAL	25 E 5TH ST	LIBERAL	KS	679019900	Western (E)	Central Plains	679	Plant	 							
W19932	LINCOLN	700 R ST	LINCOLN	NE	685019821	Western (E)	Central Plains	683	Plant	 							
V27663	LINTHICUM	961 CORPORATE BLVD	LINTHICUM HEIGHTS	MD	210902225	Capital Metro (K)	Baltimore	211	Plant	 							
Y20708	LITTLE ROCK	4700 E MCCAIN BLVD	LITTLE ROCK	AR	722319998	Southern (G)	Arkansas	720	Plant	 							
X15623	LONDON	1760 HIGHWAY 192 W	LONDON	KY	407419997	Eastern (C)	Kentuckiana	407	Plant	 							
Z24121	LOS ANGELES	7001 S CENTRAL AVE	LOS ANGELES	CA	900529998	Pacific (F)	Los Angeles	900	Plant	 							
Z21804	LOS ANGELES NDC	5555 BANDINI BLVD	BELL GARDENS	CA	902019997	Pacific (F)	Los Angeles	90Z	NDC	 							
X15638	LOUISVILLE	1420 GARDINER LN	LOUISVILLE	KY	402319990	Eastern (C)	Kentuckiana	400	Plant	 							
W24557	LUBBOCK	1515 CRICKETS AVE	LUBBOCK	TX	794029998	Southern (G)	Ft Worth	793	Plant	 							
W24562	LUFKIN	800 S JOHN REDDITT DR	LUFKIN	TX	759049997	Southern (G)	Dallas	759	Plant	 							
X27046	LYNCHBURG	3300 ODD FELLOWS RD	LYNCHBURG	VA	245069998	Eastern (C)	Appalachian	245	Plant	 							
X27047	LYNCHBURG	3300 ODD FELLOWS RD	LYNCHBURG	VA	245069998	Eastern (C)	Appalachian	24501	Delivery Unit	 							
Y17610	MADISON	3902 MILWAUKEE ST	MADISON	WI	537143000	Great Lakes (J)	Lakeland	535	Plant	 							
